,2P,2P.1,2PA,3P,3P.1,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,STL,TOV,TRB,Traded,Pos_C,Pos_C-PF,Pos_C-SF,Pos_F,Pos_G-F,Pos_PF,Pos_PF-C,Pos_PF-SF,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-PF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-PG,Pos_SG-SF,player_year,Player,Age,Tm,PER,TS%,3PAr,FTr,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,Signed,Dollars_Per_year
2844,1.0,0.48700000000000004,2.0,0.3,0.262,1.0,1.5,0.2,1.4,1.2,0.41100000000000003,3.0,0.6,0.708,0.8,61,5,12.6,0.9,1.1,3.2,0.4,1.0,2.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Luke Walton2005,Luke Walton,24,LAL,11.4,0.49200000000000005,0.33899999999999997,0.267,0.2,0.3,0.5,0.031,-1.2,-0.4,-1.6,0.1,2005,2007,5048560.5
2845,1.7,0.429,4.0,0.3,0.327,0.8,2.3,0.2,2.3,2.0,0.41200000000000003,4.8,0.8,0.75,1.1,69,6,19.3,1.3,1.7,5.0,0.6,1.1,3.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Luke Walton2006,Luke Walton,25,LAL,11.6,0.47700000000000004,0.168,0.23199999999999998,0.6,1.3,2.0,0.071,-1.6,0.5,-1.1,0.3,2006,2007,5048560.5
2846,3.6,0.499,7.2,0.8,0.387,2.1,4.3,0.4,3.6,4.4,0.474,9.3,1.8,0.745,2.4,60,60,33.0,1.5,2.0,11.4,1.0,2.0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Luke Walton2007,Luke Walton,26,LAL,14.7,0.551,0.223,0.26,2.6,1.2,3.8,0.092,0.7,-0.1,0.6,1.3,2007,2007,5048560.5
3074,2.3,0.40399999999999997,5.6,0.5,0.33299999999999996,1.6,0.7,0.1,1.9,2.8,0.389,7.2,2.8,0.855,3.3,25,0,17.2,0.5,1.5,9.0,0.7,1.0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Matt Carroll2005,Matt Carroll,24,CHA,14.7,0.517,0.217,0.461,0.4,0.3,0.7,0.078,-1.3,-2.2,-3.6,-0.2,2005,2007,4483333.333333333
3075,1.5,0.41200000000000003,3.7,0.9,0.389,2.4,0.4,0.1,1.6,2.5,0.40299999999999997,6.1,1.8,0.821,2.2,78,6,16.3,0.4,1.5,7.6,0.6,0.6,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Matt Carroll2006,Matt Carroll,25,CHA,13.9,0.54,0.389,0.353,1.6,1.0,2.6,0.09699999999999999,-0.5,-2.0,-2.5,-0.2,2006,2007,4483333.333333333
3076,2.4,0.445,5.4,1.5,0.41600000000000004,3.7,1.3,0.1,2.4,4.0,0.433,9.1,2.6,0.904,2.9,72,47,26.1,0.5,2.4,12.1,0.7,1.0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Matt Carroll2007,Matt Carroll,26,CHA,14.6,0.58,0.406,0.316,3.4,1.2,4.6,0.11699999999999999,1.2,-1.6,-0.5,0.7,2007,2007,4483333.333333333
1060,0.7,0.32899999999999996,2.1,0.0,0.0,0.0,0.2,0.5,1.1,0.7,0.32899999999999996,2.1,0.5,0.708,0.6,37,2,6.9,0.1,0.8,1.8,0.1,0.4,1.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Darko Milicic2005,Darko Milicic,19,DET,4.7,0.387,0.0,0.316,-0.6,0.4,-0.2,-0.031,-9.4,0.8,-8.6,-0.4,2005,2007,7000000.0
1061,2.2,0.513,4.2,0.0,0.0,0.0,0.7,1.4,1.9,2.2,0.509,4.3,0.5,0.56,0.9,55,1,13.9,0.8,1.7,4.8,0.3,0.9,2.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Darko Milicic2006,Darko Milicic,20,TOT,15.2,0.52,0.009000000000000001,0.214,0.0,1.1,1.2,0.073,-2.9,3.0,0.0,0.4,2006,2007,7000000.0
1062,3.1,0.455,6.8,0.0,0.0,0.0,1.1,1.8,3.7,3.1,0.45399999999999996,6.9,1.8,0.613,2.9,80,16,23.9,1.8,2.7,8.0,0.6,1.6,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Darko Milicic2007,Darko Milicic,21,ORL,13.8,0.49200000000000005,0.002,0.42,0.0,3.3,3.3,0.08199999999999999,-2.7,3.0,0.3,1.1,2007,2007,7000000.0
2159,4.3,0.446,9.7,0.6,0.267,2.1,2.3,0.2,2.6,4.9,0.414,11.8,4.5,0.8490000000000001,5.3,56,7,28.9,0.7,1.9,14.9,0.9,1.9,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Jerry Stackhouse2005,Jerry Stackhouse,30,DAL,15.9,0.525,0.18100000000000002,0.45,1.9,1.5,3.5,0.10300000000000001,0.2,-1.0,-0.7,0.5,2005,2007,7000000.0
