name,height,weight,pick_round,pick_in_round,pick_overall,draft_year
mike bantom,81,200,1,8,8,1973
leandro barbosa,75,194,1,28,28,2003
steve bardo,77,190,2,14,41,1990
andrea bargnani,84,245,1,1,1,2006
tom barker,83,225,4,2,53,1976
charles barkley,78,252,1,5,5,1984
erick barkley,73,177,1,28,28,2000
harrison barnes,80,210,1,7,7,2012
harry barnes,75,205,4,1,37,1968
jim barnes,80,210,1,1,1,1964
marvin barnes,80,210,1,2,2,1974
matt barnes,79,226,2,17,46,2002
dick barnett,76,190,1,4,4,1959
jim barnett,76,170,1,8,8,1966
nathaniel barnett,75,175,7,11,119,1975
john barnhill,73,180,11,6,77,1959
norton barnhill,76,205,8,12,134,1976
mike barr,75,180,13,6,180,1972
ernie barrett,75,180,1,7,7,1951
dana barros,71,163,1,16,16,1989
brent barry,78,185,1,15,15,1995
drew barry,77,191,2,28,57,1996
jon barry,76,195,1,21,21,1992
rick barry,79,205,1,2,2,1965
vic bartolome,84,230,6,2,87,1970
will barton,78,175,2,10,40,2012
brandon bass,80,250,2,3,33,2005
tim bassett,80,225,7,3,106,1973
maceo baston,81,215,2,29,58,1998
billy ray bates,76,210,3,3,47,1978
tony battie,83,230,1,5,5,1997
shane battier,80,220,1,6,6,2001
john battle,74,175,4,14,84,1985
kenny battle,78,210,1,27,27,1989
dave batton,82,240,3,18,62,1978
lloyd batts,76,185,4,6,60,1974
nicolas batum,80,200,1,25,25,2008
johnny baum,77,200,15,6,187,1968
lonny baxter,80,260,2,15,44,2002
jerryd bayless,75,200,1,11,11,2008
elgin baylor,77,225,1,1,1,1956
howard bayne,78,235,15,2,107,1966
bradley beal,77,207,1,3,3,2012
butch beard,75,185,1,10,10,1969
charles beasley,77,190,7,7,74,1967
jerome beasley,82,237,2,4,33,2003
john beasley,81,225,5,5,45,1966
malik beasley,77,196,1,19,19,2016
michael beasley,81,235,1,2,2,2008
zelmo beaty,81,225,1,3,3,1962
rodrigue beaubois,72,170,1,25,25,2009
byron beck,81,225,2,3,15,1967
arthur becker,79,205,3,6,22,1964
bob bedell,79,205,10,6,90,1966
william bedford,84,225,1,6,6,1986
ron behagen,81,185,1,7,7,1973
elmer behnke,79,210,4,8,37,1951
marco belinelli,77,210,1,18,18,2007
dennis bell,77,185,5,14,83,1973
jordan bell,81,224,2,8,38,2017
troy bell,73,180,1,16,16,2003
walt bellamy,83,225,1,1,1,1961
deandre' bembry,78,210,1,21,21,2016
leon benbow,76,185,2,9,27,1974
dragan bender,85,225,1,4,4,2016
jonathan bender,83,202,1,5,5,1999
benoit benjamin,84,250,1,3,3,1985
corey benjamin,78,200,1,28,28,1998
anthony bennett,80,245,1,1,1,2013
elmer bennett,72,170,2,11,38,1992
mario bennett,78,235,1,27,27,1995
tony bennett,72,175,2,8,35,1992
winston bennett,79,210,3,14,64,1988
keith benson,83,240,2,18,48,2011
kent benson,82,235,1,1,1,1977
ben bentil,81,235,2,21,51,2016
larry bergh,80,210,11,5,146,1969
ricky berry,80,205,1,18,18,1988
walter berry,80,215,1,14,14,1986
davis bertans,82,210,2,12,42,2011
travis best,71,182,1,23,23,1995
patrick beverley,73,185,2,12,42,2009
wesley bialosuknia,74,185,4,6,37,1967
al bianchi,75,185,2,9,18,1954
henry bibby,73,185,4,11,58,1972
mike bibby,73,190,1,2,2,1998
ed biedenbach,73,175,9,5,96,1967
andris biedrins,83,240,1,11,11,2004
don bielke,79,240,8,4,67,1954
bob bigelow,79,215,1,13,13,1975
lionel billingy,81,215,4,18,72,1974
chauncey billups,75,202,1,3,3,1997
dave bing,75,180,1,2,2,1966
joe binion,80,235,3,10,57,1984
jabari bird,78,197,2,26,56,2017
larry bird,81,220,1,6,6,1978
otis birdsong,75,190,1,2,2,1977
bismack biyombo,81,255,1,7,7,2011
nemanja bjelica,82,240,2,5,35,2010
uwe blab,85,252,1,17,17,1985
tom black,82,220,9,2,72,1964
rolando blackman,78,190,1,9,9,1981
cory blackwell,78,210,2,4,28,1984
nate blackwell,76,170,2,4,27,1987
dejuan blair,79,270,2,7,37,2009
steve blake,75,172,2,9,38,2003
will blalock,72,205,2,30,60,2006
george blaney,73,175,4,1,33,1961
lance blanks,76,190,1,26,26,1990
ricky blanton,79,215,2,19,46,1989
andray blatche,83,235,2,19,49,2005
mookie blaylock,72,180,1,12,12,1989
eric bledsoe,73,205,1,18,18,2010
john block,81,207,3,7,27,1966
corie blount,81,240,1,25,25,1993
mark blount,84,230,2,26,54,1997
ray blume,76,185,2,13,36,1981
bucky bockhorn,76,200,3,2,17,1958
tom boerwinkle,84,265,1,4,4,1968
keith bogans,77,215,2,14,43,2003
bogdan bogdanovic,78,205,1,27,27,2014
bojan bogdanovic,80,216,2,1,31,2011
muggsy bogues,63,136,1,12,12,1987
andrew bogut,84,260,1,1,1,2005
manute bol,91,200,5,4,97,1983
joel bolomboy,81,235,2,22,52,2016
doug bolstorff,76,195,8,2,57,1957
george bon salle,80,220,1,7,7,1957
phil bond,74,175,3,18,62,1977
ron bonham,77,192,2,9,16,1964
anthony bonner,80,215,1,23,23,1990
matt bonner,82,235,2,16,45,2003
devin booker,78,206,1,13,13,2015
trevor booker,80,228,1,23,23,2010
josh boone,82,237,1,23,23,2006
ron boone,74,200,11,13,147,1968
calvin booth,83,230,2,6,35,1999
keith booth,78,226,1,28,28,1997
bob boozer,80,215,1,1,1,1959
carlos boozer,81,258,2,6,35,2002
curtis borchardt,84,240,1,18,18,2002
chris bosh,83,235,1,4,4,2003
jim bostic,79,225,8,13,139,1975
lawrence boston,80,225,4,15,81,1978
tom boswell,81,220,1,17,17,1975
ruben boumtje-boumtje,84,257,2,21,50,2001
cal bowdler,82,245,1,17,17,1999
ryan bowen,79,215,2,26,55,1998
anthony bowie,78,190,3,19,66,1986
sam bowie,85,235,1,2,2,1984
orbie bowling,82,215,11,1,76,1963
nate bowman,82,230,1,7,7,1965
donnie boyce,77,196,2,13,42,1995
dennis boyd,73,175,4,6,72,1977
freddie boyd,74,180,1,5,5,1972
ken boyd,77,195,9,10,154,1974
winford boynes,78,185,1,13,13,1978
steve bracey,73,175,2,8,21,1972
