name,height,weight,pick_round,pick_in_round,pick_overall,draft_year
bruce douglas,75,195,3,10,57,1986
john douglas,74,170,6,8,118,1978
leon douglas,82,230,1,4,4,1976
sherman douglas,72,180,2,1,28,1989
toney douglas,74,195,1,29,29,2009
chris douglas-roberts,79,200,2,10,40,2008
sonny dove,79,198,1,4,4,1967
steve downing,80,225,1,17,17,1973
danny doyle,80,200,5,3,44,1961
goran dragic,75,190,2,15,45,2008
greg dreiling,85,250,2,2,26,1986
bryce drew,74,185,1,16,16,1998
john drew,78,205,2,7,25,1974
larry drew,73,170,1,17,17,1980
clyde drexler,79,210,1,14,14,1983
terry driscoll,79,215,1,4,4,1969
predrag drobnjak,83,270,2,20,48,1997
ralph drollinger,86,250,7,17,121,1976
andre drummond,83,279,1,9,9,2012
dick duckett,73,185,2,1,9,1957
kevin duckworth,84,275,2,9,33,1986
charles dudley,74,180,5,13,76,1972
chris dudley,83,235,4,6,75,1987
jared dudley,79,225,1,22,22,2007
terry duerod,74,180,3,4,48,1979
bob duffy,75,185,2,3,10,1962
chris duhon,73,185,2,9,38,2004
joe dumars,75,190,1,18,18,1985
richard dumas,79,200,2,19,46,1991
tony dumas,78,190,1,19,19,1994
tim duncan,83,250,1,1,1,1997
mike dunleavy,81,230,1,3,3,2002
kris dunn,76,210,1,5,5,2016
t.r. dunn,76,192,2,19,41,1977
kevin durant,81,240,1,2,2,2007
john duren,75,195,1,19,19,1980
jarrett durham,77,188,4,11,62,1971
pat durham,79,210,2,8,35,1989
devin durrant,79,200,2,1,25,1984
ken durrett,79,190,1,4,4,1971
dennis duval,75,175,2,12,30,1974
craig dykema,80,190,3,20,66,1981
ledell eackles,77,220,2,11,36,1988
jim eakins,83,215,5,7,57,1968
acie earl,82,240,1,19,19,1993
cleanthony early,80,210,2,4,34,2014
mark eaton,88,275,5,19,107,1979
jerry eaves,76,180,3,9,55,1982
devin ebanks,81,215,2,13,43,2010
bill ebben,76,190,3,2,18,1957
al eberhard,78,225,1,15,15,1974
ndudi ebi,81,200,1,26,26,2003
roy ebron,81,220,4,14,68,1974
kenton edelin,80,205,7,1,140,1984
charles edge,78,210,6,12,92,1972
keith edmonson,77,195,1,10,10,1982
tyus edney,70,152,2,18,47,1995
blue edwards,76,200,1,21,21,1989
corsley edwards,81,275,2,29,58,2002
doug edwards,79,220,1,15,15,1993
franklin edwards,73,170,1,22,22,1981
james edwards,84,225,3,2,46,1977
jay edwards,76,185,2,6,33,1989
kevin edwards,75,190,1,20,20,1988
johnny egan,71,180,2,3,12,1961
bulbs ehlers,75,198,1,3,3,1947
craig ehlo,78,180,3,1,48,1983
howard eisley,74,177,2,3,30,1994
obinna ekezie,81,270,2,8,37,1999
khalid el-amin,70,200,2,5,34,2000
mario elie,77,210,7,21,160,1985
henry ellenson,83,245,1,18,18,2016
wayne ellington,76,200,1,28,28,2009
bob elliott,81,225,2,20,42,1977
sean elliott,80,205,1,3,3,1989
bo ellis,81,197,1,17,17,1977
boo ellis,77,185,3,1,16,1958
dale ellis,79,205,1,9,9,1983
joe ellis,78,175,2,3,13,1966
laphonso ellis,80,240,1,5,5,1992
leron ellis,81,225,1,22,22,1991
leroy ellis,82,210,1,6,6,1962
monta ellis,75,185,2,10,40,2005
pervis ellison,81,210,1,1,1,1989
len elmore,81,220,1,13,13,1974
francisco elson,84,235,2,12,41,1999
darrell elston,76,190,3,7,43,1974
melvin ely,82,260,1,12,12,2002
joel embiid,84,250,1,3,3,2014
wayne embry,80,240,3,7,22,1958
andre emmett,77,230,2,6,35,2004
chris engler,83,245,3,14,60,1982
a.j. english,75,175,2,10,37,1990
alex english,79,190,2,6,23,1976
claude english,76,185,7,8,110,1970
kim english,78,200,2,14,44,2012
scott english,78,205,3,3,33,1972
james ennis,79,210,2,20,50,2013
tyler ennis,75,194,1,18,18,2014
ray epps,78,195,5,16,104,1977
semih erden,84,240,2,30,60,2008
bo erias,75,220,5,7,43,1954
keith erickson,77,195,3,1,18,1965
julius erving,79,210,1,12,12,1972
evan eschmeyer,83,255,2,5,34,1999
billy evans,72,170,13,7,175,1969
brian evans,80,220,1,27,27,1996
earl evans,80,202,8,5,157,1978
jawun evans,72,185,2,9,39,2017
jeremy evans,81,200,2,25,55,2010
mike evans,73,170,1,21,21,1978
tyreke evans,78,220,1,4,4,2009
daniel ewing,75,185,2,2,32,2005
patrick ewing,80,235,2,13,43,2008
dante exum,78,190,1,5,5,2014
christian eyenga,77,210,1,30,30,2009
festus ezeli,83,255,1,30,30,2012
john fairchild,80,205,2,8,16,1965
kenneth faried,80,228,1,22,22,2011
dick farley,76,190,2,6,15,1954
jordan farmar,74,180,1,26,26,2006
jim farmer,76,190,1,20,20,1987
mike farmer,79,210,1,3,3,1958
derrick favors,82,265,1,3,3,2010
nick fazekas,83,235,2,4,34,2007
dave fedor,78,190,3,7,23,1962
butch feher,76,185,2,16,33,1976
jamie feick,81,255,2,19,48,1996
dave feitl,83,235,2,19,43,1986
kay felder,69,176,2,24,54,2016
carrick felix,78,201,2,3,33,2013
ray felix,83,220,1,1,1,1953
raymond felton,73,205,1,5,5,2005
jake fendley,72,180,3,4,23,1951
terrance ferguson,79,184,1,21,21,2017
rudy fernandez,78,185,1,24,24,2007
eric fernsten,82,205,4,8,62,1975
al ferrari,76,190,3,1,15,1955
rolando ferreira,85,240,2,1,26,1988
danny ferry,82,230,1,2,2,1989
kyrylo fesenko,85,288,2,8,38,2007
bobby fields,75,175,4,3,54,1971
kenny fields,77,220,1,21,21,1984
landry fields,79,210,2,9,39,2010
ron filipek,77,205,9,9,100,1967
greg fillmore,85,240,8,17,136,1970
larry finch,74,185,4,16,68,1973
hank finkel,84,240,4,5,30,1964
michael finley,79,215,1,21,21,1995
matt fish,83,235,2,23,50,1992
derek fisher,73,200,1,24,24,1996
richard fisher,77,215,2,10,27,1971
marcus fizer,81,262,1,4,4,2000
al fleming,79,215,2,13,30,1976
ed fleming,75,189,3,2,16,1955
vern fleming,77,185,1,18,18,1984
luis flores,74,200,2,26,55,2004
bruce flowers,80,225,2,4,26,1979
sleepy floyd,75,170,1,13,13,1982
jonny flynn,72,185,1,6,6,2009
mike flynn,74,180,7,5,113,1975
larry fogle,77,205,2,16,34,1975
jack foley,75,170,2,9,16,1962
levi fontaine,76,190,5,2,70,1970
alphonso ford,73,190,2,5,32,1993
alton ford,81,275,2,22,51,2001
bob ford,79,228,5,11,74,1972
chris ford,77,190,2,4,17,1972
don ford,81,215,6,2,92,1975
jake ford,75,180,5,8,65,1969
phil ford,74,175,1,2,2,1978
sherell ford,79,210,1,26,26,1995
t.j. ford,72,165,1,8,8,2003
bayard forrest,82,235,3,18,54,1975
joseph forte,76,194,1,21,21,2001
danny fortson,79,260,1,10,10,1997
fred foster,77,210,3,6,28,1968
greg foster,83,240,2,8,35,1990
jeff foster,83,236,1,21,21,1999
jimmy foster,73,175,4,3,57,1974
rod foster,73,160,2,4,28,1983
antonis fotsis,82,219,2,19,48,2001
evan fournier,79,205,1,20,20,2012
larry foust,81,215,1,5,5,1950
tremaine fowlkes,80,220,2,25,54,1998
de'aaron fox,75,170,1,5,5,2017
harold fox,74,175,2,2,15,1972
jim fox,82,230,8,6,67,1965
rick fox,79,230,1,24,24,1991
randy foye,76,213,1,7,7,2006
adonal foyle,82,250,1,8,8,1997
steve francis,75,195,1,2,2,1999
tellis frank,82,225,1,14,14,1987
jamaal franklin,77,191,2,11,41,2013
william franklin,79,220,7,13,110,1972
ronald franz,79,205,4,2,33,1967
walt frazier,76,200,1,5,5,1967
will frazier,79,210,2,1,9,1965
anthony frederick,79,205,6,17,133,1986
jimmer fredette,74,195,1,10,10,2011
world b. free,74,185,2,5,23,1975
joel freeland,82,250,1,30,30,2006
donnie freeman,75,185,3,9,29,1966
gary freeman,81,210,1,16,16,1970
rod freeman,79,225,11,1,166,1973
matt freije,82,240,2,24,53,2004
larry friend,76,185,2,5,13,1957
pat frink,76,195,3,5,27,1968
jim fritsche,80,210,1,7,7,1953
channing frye,83,255,1,8,8,2005
bernie fryer,75,185,7,12,109,1972
carl fuller,81,225,7,6,73,1967
todd fuller,83,255,1,11,11,1996
tony fuller,76,180,5,1,93,1980
markelle fultz,76,195,1,1,1,2017
lawrence funderburke,81,230,2,24,51,1994
terry furlow,76,190,1,12,12,1976
dan gadzuric,83,240,2,5,34,2002
bill gaines,76,185,15,1,182,1968
corey gaines,75,195,3,15,65,1988
reece gaines,78,205,1,15,15,2003
mike gale,76,185,3,12,47,1971
chad gallagher,82,255,2,5,32,1991
danilo gallinari,82,225,1,6,6,2008
dave gambee,78,215,1,6,6,1958
kevin gamble,77,210,3,17,63,1987
francisco garcia,79,195,1,23,23,2005
chuck gardner,80,205,9,3,80,1966
kenneth gardner,77,205,5,14,82,1971
vern gardner,77,200,1,5,5,1949
gary garland,76,180,2,8,30,1979
winston garland,74,170,2,17,40,1987
dick garmaker,75,200,9,8,80,1954
bill garner,82,220,8,8,68,1962
bill garnett,81,225,1,4,4,1982
kevin garnett,83,240,1,5,5,1995
calvin garrett,79,190,3,3,47,1979
dean garrett,82,225,2,13,38,1988
dick garrett,75,185,2,12,27,1969
rowland garrett,78,210,5,15,78,1972
tom garrick,74,185,2,20,45,1988
john garris,80,205,2,3,27,1983
pat garrity,81,238,1,19,19,1998
jim garvin,79,200,17,2,204,1973
marc gasol,85,255,2,18,48,2007
pau gasol,84,250,1,3,3,2001
chris gatling,82,220,1,16,16,1991
kenny gattison,80,225,3,8,55,1986
rudy gay,80,230,1,8,8,2006
michael gbinije,79,200,2,19,49,2016
reggie geary,74,187,2,27,56,1996
matt geiger,84,243,2,15,42,1992
mickael gelabale,79,215,2,18,48,2005
devean george,80,220,1,23,23,1999
paul george,81,220,1,10,10,2010
tate george,77,190,1,22,22,1990
gus gerard,80,200,3,14,50,1975
derrick gervin,80,200,4,20,90,1985
george gervin,79,180,3,4,40,1974
john gianelli,82,220,2,7,20,1972
dick gibbs,77,210,3,14,49,1971
daniel gibson,74,190,2,12,42,2006
mel gibson,75,180,2,8,16,1963
mike gibson,82,205,2,21,44,1982
taj gibson,81,225,1,26,26,2009
j.r. giddens,77,215,1,30,30,2008
kendall gill,77,195,1,5,5,1990
jack gillespie,78,215,12,11,166,1969
armen gilliam,81,230,1,2,2,1987
herm gilliam,75,190,13,3,163,1968
artis gilmore,86,240,7,15,117,1971
walt gilmore,78,225,2,8,25,1970
manu ginobili,78,205,2,28,57,1999
gordan giricek,78,210,2,11,40,1999
jack givens,77,205,1,16,16,1978
gerald glass,77,221,1,20,20,1990
mike glenn,74,175,2,1,23,1977
georgi glouchkov,80,235,7,9,148,1985
clarence glover,80,210,1,10,10,1971
dion glover,77,228,1,20,20,1999
andreas glyniadakis,85,280,2,29,58,2003
mike gminski,83,250,1,7,7,1980
rudy gobert,85,245,1,27,27,2013
anthony goldwire,73,182,2,25,52,1994
ryan gomes,79,250,2,20,50,2005
glen gondrezick,78,218,2,4,26,1977
grant gondrezick,77,205,4,7,77,1986
drew gooden,82,250,1,4,4,2002
archie goodwin,77,200,1,29,29,2013
aaron gordon,81,220,1,4,4,2014
ben gordon,75,200,1,3,3,2004
eric gordon,76,215,1,7,7,2008
lancaster gordon,75,185,1,8,8,1984
marcin gortat,83,240,2,27,57,2005
andrew goudelock,75,200,2,16,46,2011
gerald govan,82,220,11,4,88,1964
bato govedarica,71,185,3,5,24,1951
ricky grace,73,180,3,17,67,1988
greg graham,76,174,1,17,17,1993
joey graham,79,225,1,16,16,2005
mal graham,73,185,1,11,11,1967
orlando graham,80,220,2,15,40,1988
jim grandholm,84,235,4,6,76,1984
ron grandison,78,215,5,8,100,1987
danny granger,81,222,1,17,17,2005
stewart granger,75,190,1,24,24,1983
brian grant,81,254,1,8,8,1994
gary grant,75,185,1,15,15,1988
greg grant,67,140,2,25,52,1989
harvey grant,80,195,1,12,12,1988
horace grant,82,215,1,10,10,1987
jerami grant,80,210,2,9,39,2014
jerian grant,76,195,1,19,19,2015
josh grant,81,223,2,16,43,1993
paul grant,84,245,1,20,20,1997
travis grant,79,215,1,13,13,1972
butch graves,75,200,3,21,68,1984
aaron gray,84,270,2,19,49,2007
ed gray,75,210,1,22,22,1997
gary gray,73,185,3,7,26,1967
leonard gray,80,240,3,10,45,1973
stuart gray,84,235,2,5,29,1984
sylvester gray,78,230,2,10,35,1988
jeff grayer,77,200,1,13,13,1988
bob greacen,79,206,2,2,17,1969
a.c. green,81,220,1,23,23,1985
danny green,78,215,2,16,46,2009
draymond green,79,230,2,5,35,2012
erick green,76,185,2,16,46,2013
gerald green,79,205,1,18,18,2005
jeff green,81,235,1,5,5,2007
johnny green,77,200,1,5,5,1959
ken green,80,215,2,11,34,1981
kenny green,78,210,1,12,12,1985
lamar green,79,210,3,4,33,1969
litterial green,73,185,2,12,39,1992
luther green,79,190,3,12,41,1969
mike green,82,200,1,4,4,1973
rickey green,72,170,1,16,16,1977
sean green,77,210,2,14,41,1991
si green,74,185,1,1,1,1956
sidney green,81,220,1,5,5,1983
steve green,79,220,2,12,30,1975
taurean green,72,177,2,22,52,2007
tommie green,74,185,2,13,35,1978
willie green,76,200,2,12,41,2003
donte greene,83,226,1,28,28,2008
orien greene,76,208,2,23,53,2005
jerry greenspan,77,195,3,7,24,1963
dave greenwood,81,222,1,2,2,1979
hal greer,74,175,2,6,13,1958
gary gregor,79,225,3,5,24,1967
claude gregory,80,205,2,18,41,1981
john greig,79,215,3,19,65,1982
kevin grevey,77,210,1,18,18,1975
blake griffin,82,251,1,1,1,2009
eddie griffin,82,220,1,7,7,2001
greg griffin,79,190,4,5,71,1977
paul griffin,81,205,5,6,74,1976
taylor griffin,79,238,2,18,48,2009
darrell griffith,76,190,1,2,2,1980
dick groat,71,180,1,3,3,1952
bob gross,78,200,2,7,25,1975
mike grosso,81,230,3,13,42,1969
jerry grote,76,215,4,3,28,1962
alex groza,79,218,1,2,2,1949
dick grubar,76,184,6,12,83,1969
ernie grunfeld,78,210,1,11,11,1977
gene guarilia,77,220,2,8,14,1959
petur gudmundsson,86,260,3,15,61,1981
richie guerin,76,195,2,8,17,1954
tom gugliotta,82,240,1,6,6,1992
dave gunther,79,190,8,3,56,1959
matt guokas,77,175,1,9,9,1966
a.j. guyton,73,180,2,3,32,2000
rudy hackett,81,210,3,1,37,1975
jim hadnot,82,235,3,9,25,1962
scott haffner,75,180,2,18,45,1989
glenn hagan,72,170,2,21,43,1978
tom hagan,75,185,3,7,36,1969
al hairston,73,170,5,2,52,1968
happy hairston,79,225,4,8,33,1964
lindsay hairston,79,180,4,10,64,1975
malik hairston,78,220,2,18,48,2008
p.j. hairston,78,230,1,26,26,2014
marcus haislip,82,230,1,13,13,2002
jack haley,82,240,4,10,79,1987
shaler halimon,77,199,1,14,14,1968
jeff halliburton,77,193,3,4,39,1971
steve hamer,84,245,2,9,38,1996
daniel hamilton,79,195,2,26,56,2016
joe hamilton,70,160,9,16,152,1970
jordan hamilton,79,220,1,26,26,2011
justin hamilton,84,260,2,15,45,2012
richard hamilton,78,185,1,7,7,1999
roy hamilton,74,180,1,10,10,1979
steve hamilton,78,190,9,5,67,1957
geert hammink,84,262,1,26,26,1993
julian hammond,77,205,9,5,82,1966
tom hammonds,81,215,1,9,9,1989
a.j. hammons,84,260,2,16,46,2016
darrin hancock,79,205,2,11,38,1994
phil hankinson,80,195,2,17,35,1973
tyler hansbrough,81,250,1,13,13,2009
bob hansen,78,190,3,7,54,1983
glenn hansen,76,205,2,13,31,1975
lars hansen,82,225,3,3,37,1976
travis hansen,78,205,2,8,37,2003
bill hanzlik,79,185,1,20,20,1980
luke harangody,80,246,2,22,52,2010
anfernee hardaway,79,195,1,3,3,1993
tim hardaway,78,205,1,24,24,2013
james harden,77,220,1,3,3,2009
reggie harding,84,249,4,4,29,1962
charlie hardnett,80,225,3,3,19,1962
darrell hardy,79,220,3,2,21,1967
james hardy,80,220,1,11,11,1978
ira harge,81,225,7,4,57,1963
maurice harkless,81,215,1,15,15,2012
jerry harkness,74,175,8,5,65,1962
skip harlicka,73,185,1,13,13,1968
derek harper,76,185,1,11,11,1983
justin harper,82,225,2,2,32,2011
mike harper,82,195,3,10,56,1980
ron harper,78,185,1,8,8,1986
matt harpring,79,231,1,15,15,1998
montrezl harrell,80,240,2,2,32,2015
josh harrellson,82,275,2,15,45,2011
al harrington,81,230,1,25,25,1998
othella harrington,81,235,2,1,30,1996
art harris,76,185,2,2,16,1968
bernie harris,82,200,4,9,63,1974
billy harris,74,185,7,12,115,1973
bob harris,79,195,1,3,3,1949
devin harris,75,192,1,5,5,2004
gary harris,76,210,1,19,19,2014
joe harris,78,219,2,3,33,2014
lucious harris,77,190,2,1,28,1993
steve harris,77,195,1,19,19,1985
tobias harris,81,235,1,19,19,2011
andrew harrison,78,213,2,14,44,2015
david harrison,84,280,1,29,29,2004
jason hart,75,185,2,20,49,2000
josh hart,77,209,1,30,30,2017
donnell harvey,80,220,1,22,22,2000
scott haskin,83,250,1,14,14,1993
clem haskins,75,195,1,3,3,1967
trenton hassell,77,200,2,1,30,2001
joe hassett,77,180,3,8,52,1977
scott hastings,82,235,2,6,29,1982
kirk haston,81,242,1,16,16,2001
vern hatton,75,195,2,2,9,1958
john havlicek,77,203,1,7,7,1962
spencer hawes,85,245,1,10,10,2007
steve hawes,81,220,2,11,24,1972
bubbles hawkins,76,190,3,15,51,1975
hersey hawkins,75,190,1,6,6,1988
tom hawkins,77,210,1,3,3,1959
nate hawthorne,76,190,7,15,118,1973
elvin hayes,81,235,1,1,1,1968
jarvis hayes,79,220,1,10,10,2003
jim hayes,75,200,3,13,47,1970
steve hayes,84,205,4,10,76,1977
gordon hayward,80,226,1,9,9,2010
lazar hayward,78,225,1,30,30,2010
brendan haywood,84,268,1,20,20,2001
spencer haywood,80,225,2,13,30,1971
luther head,75,185,1,24,24,2005
brian heaney,74,180,19,4,215,1969
gar heard,78,219,3,6,40,1970
dick hemric,78,220,2,4,10,1955
alan henderson,81,235,1,16,16,1995
cedric henderson,79,215,2,16,44,1997
dave henderson,77,195,3,11,58,1986
gerald henderson,77,215,1,12,12,2009
j.r. henderson,80,226,2,27,56,1998
kevin henderson,76,195,3,3,50,1986
tom henderson,75,190,1,7,7,1974
mark hendrickson,81,220,2,2,31,1996
al henry,81,190,1,12,12,1970
carl henry,78,205,4,10,80,1984
conner henry,79,195,4,19,89,1986
xavier henry,78,220,1,12,12,2010
john henson,83,229,1,14,14,2012
steve henson,71,177,2,17,44,1990
charles hentz,77,210,5,6,63,1969
juan hernangomez,81,230,1,15,15,2016
willy hernangomez,83,240,2,5,35,2015
chris herren,74,197,2,4,33,1999
carl herrera,81,215,2,3,30,1990
keith herron,78,195,2,2,24,1978
dan hester,80,210,2,14,31,1970
fred hetzel,80,220,1,1,1,1965
bill hewitt,79,210,1,11,11,1968
art heyman,77,205,1,1,1,1963
mario hezonja,80,215,1,5,5,2015
roy hibbert,86,270,1,17,17,2008
phil hicks,79,205,4,7,61,1975
j.j. hickson,81,242,1,19,19,2008
buddy hield,76,214,1,6,6,2016
bill higgins,74,180,7,1,109,1975
earle higgins,80,195,3,2,36,1970
rod higgins,79,200,2,8,31,1982
sean higgins,81,205,2,27,54,1990
johnny high,75,185,2,2,24,1979
wayne hightower,80,192,1,5,5,1962
nene,83,250,1,7,7,2002
armond hill,76,190,1,9,9,1976
cleo hill,73,185,1,8,8,1961
gary hill,76,185,2,3,11,1963
george hill,75,188,1,26,26,2008
grant hill,80,225,1,3,3,1994
jordan hill,82,235,1,8,8,2009
simmie hill,79,233,2,1,16,1969
solomon hill,79,225,1,23,23,2013
tyrone hill,81,240,1,11,11,1990
darrun hilliard,78,205,2,8,38,2015
darnell hillman,81,215,1,8,8,1971
fred hilton,75,185,2,2,19,1971
kirk hinrich,76,190,1,7,7,2003
roy hinson,81,210,1,20,20,1983
lew hitch,80,200,2,10,19,1951
darington hobson,79,210,2,7,37,2010
donald hodge,84,230,2,6,33,1991
julius hodge,79,210,1,20,20,2005
craig hodges,74,190,3,2,48,1982
paul hogue,81,240,1,2,2,1962
fred hoiberg,76,203,2,23,52,1995
randy holcomb,81,225,2,28,57,2002
jrue holiday,76,205,1,17,17,2009
brad holland,75,180,1,14,14,1979
wilbur holland,72,175,5,3,75,1975
lionel hollins,75,185,1,6,6,1975
ryan hollins,84,240,2,20,50,2006
essie hollis,78,195,2,22,44,1977
rondae hollis-jefferson,79,220,1,23,23,2015
richaun holmes,82,245,2,7,37,2015
mike holton,76,185,3,6,53,1983
dick holub,78,205,1,5,5,1947
joe holup,78,215,13,3,100,1953
jerald honeycutt,81,245,2,10,38,1997
tyler honeycutt,80,188,2,5,35,2011
rodney hood,80,206,1,23,23,2014
bobby hooper,72,180,8,8,100,1968
carroll hooser,79,230,6,2,52,1966
tom hoover,81,230,1,6,6,1963
dave hoppen,83,235,3,18,65,1986
dennis hopson,77,200,1,3,3,1987
johnny horan,80,190,1,6,6,1955
cedrick hordges,80,220,3,5,49,1979
al horford,82,245,1,3,3,2007
tito horford,85,245,2,14,39,1988
ron horn,79,220,2,7,16,1961
jeff hornacek,75,190,2,22,46,1986
robert horry,81,220,1,11,11,1992
ed horton,80,230,2,12,39,1989
bill hosket,80,225,1,10,10,1968
bob houbregs,79,210,1,2,2,1953
eddie house,73,180,2,8,37,2000
allan houston,78,200,1,11,11,1993
byron houston,77,250,1,27,27,1992
dwight howard,83,265,1,1,1,2004
greg howard,81,215,1,10,10,1970
josh howard,79,210,1,29,29,2003
juwan howard,81,240,1,5,5,1994
mo howard,74,170,2,15,32,1976
otis howard,79,220,4,14,80,1978
bailey howell,79,210,1,2,2,1959
phil hubbard,80,215,1,15,15,1979
lester hudson,75,190,2,28,58,2009
lou hudson,77,210,1,4,4,1966
josh huestis,79,230,1,29,29,2014
alfredrick hughes,77,215,1,14,14,1985
eddie hughes,70,165,7,2,140,1982
kim hughes,83,220,3,9,45,1974
larry hughes,77,184,1,8,8,1998
robbie hummel,80,215,2,28,58,2012
john hummer,81,230,1,15,15,1970
ryan humphrey,80,235,1,19,19,2002
jay humphries,75,185,1,13,13,1984
kris humphries,81,235,1,14,14,2004
hot rod hundley,76,185,1,1,1,1957
brandon hunter,79,260,2,27,56,2003
les hunter,79,210,2,2,9,1964
lindsey hunter,74,170,1,10,10,1993
r.j. hunter,77,185,1,28,28,2015
steven hunter,84,220,1,15,15,2001
bobby hurley,72,165,1,7,7,1993
geoff huston,74,175,3,6,50,1979
paul huston,75,175,1,8,8,1947
mel hutchins,78,200,1,2,2,1951
greg hyder,78,215,3,5,39,1970
marc iavaroni,80,210,3,11,55,1978
serge ibaka,82,235,1,24,24,2008
andre iguodala,78,215,1,9,9,2004
zydrunas ilgauskas,87,238,1,20,20,1996
mile ilic,85,230,2,13,43,2005
ersan ilyasova,82,235,2,6,36,2005
darrall imhoff,82,220,1,3,3,1960
tom ingelsby,75,180,2,9,27,1973
damien inglis,80,246,2,1,31,2014
brandon ingram,81,190,1,2,2,2016
byron irvin,77,190,1,22,22,1989
george irvine,78,200,8,6,125,1970
kyrie irving,75,193,1,1,1,2011
jonathan isaac,82,210,1,6,6,2017
dan issel,81,235,8,3,122,1970
mike iuzzolino,70,175,2,8,35,1991
allen iverson,72,165,1,1,1,1996
royal ivey,75,200,2,8,37,2004
wesley iwundu,79,193,2,3,33,2017
warren jabali,74,200,4,8,44,1968
jarrett jack,75,200,1,22,22,2005
bobby jackson,73,185,1,23,23,1997
darnell jackson,81,253,2,22,52,2008
demetrius jackson,73,201,2,15,45,2016
greg jackson,72,180,5,14,86,1974
jim jackson,78,220,1,4,4,1992
josh jackson,80,207,1,4,4,2017
justin jackson,80,200,1,15,15,2017
luke jackson,79,215,1,10,10,2004
marc jackson,82,270,2,9,37,1997
mark jackson,73,180,1,18,18,1987
mervin jackson,75,175,9,14,120,1968
michael jackson,74,183,2,23,47,1986
mike jackson,79,215,7,7,104,1972
myron jackson,75,185,4,15,85,1986
phil jackson,80,220,2,5,17,1967
pierre jackson,70,180,2,12,42,2013
ralph jackson,74,190,4,1,71,1984
reggie jackson,75,208,1,24,24,2011
stephen jackson,80,218,2,14,42,1997
tony jackson,72,170,4,18,87,1980
tracy jackson,78,205,2,2,25,1981
wardell jackson,79,200,6,8,98,1974
casey jacobsen,78,215,1,22,22,2002
sam jacobson,76,215,1,26,26,1998
dave jamerson,77,190,1,15,15,1990
aaron james,80,210,2,10,28,1974
bernard james,82,240,2,3,33,2012
damion james,79,225,1,24,24,2010
jerome james,84,300,2,7,36,1998
lebron james,80,250,1,1,1,2003
tim james,79,212,1,25,25,1999
antawn jamison,80,223,1,4,4,1998
marko jaric,79,198,2,1,30,2000
jim jarvis,73,175,6,1,45,1965
nathan jawai,82,280,2,11,41,2008
chris jefferies,80,225,1,27,27,2002
al jefferson,82,289,1,15,15,2004
cory jefferson,81,218,2,30,60,2014
richard jefferson,79,233,1,13,13,2001
jared jeffries,83,230,1,11,11,2002
charles jenkins,75,220,2,14,44,2011
john jenkins,76,215,1,23,23,2012
brandon jennings,73,170,1,10,10,2009
les jepsen,84,237,2,1,28,1990
jonas jerebko,82,231,2,9,39,2009
grant jerrett,82,235,2,10,40,2013
yi jianlian,84,240,1,6,6,2007
alexander johnson,81,240,2,15,45,2006
amir johnson,81,240,2,26,56,2005
anthony johnson,75,190,2,11,39,1997
armon johnson,75,195,2,4,34,2010
brice johnson,82,230,1,25,25,2016
buck johnson,79,190,1,20,20,1986
charles johnson,72,170,6,8,93,1971
cheese johnson,78,195,3,10,54,1979
clay johnson,76,175,5,22,110,1978
clemon johnson,82,240,2,22,44,1978
dakari johnson,84,255,2,18,48,2015
darryl johnson,73,170,3,12,58,1987
dave johnson,79,210,1,26,26,1992
demarco johnson,81,245,2,9,38,1998
dennis johnson,76,185,2,12,29,1976
dermarr johnson,81,201,1,6,6,2000
ed johnson,80,205,3,12,34,1968
eddie johnson,79,215,2,6,29,1981
ervin johnson,83,245,1,23,23,1993
frank johnson,73,185,1,11,11,1981
george johnson,79,210,1,12,12,1978
gus johnson,78,230,2,2,10,1963
jajuan johnson,82,221,1,27,27,2011
james johnson,81,250,1,16,16,2009
joe johnson,79,240,1,10,10,2001
john johnson,79,200,1,7,7,1970
kannard johnson,81,220,2,18,41,1987
ken johnson,83,240,2,20,49,2001
kevin johnson,73,180,1,7,7,1987
larry johnson,78,250,1,1,1,1991
lee johnson,83,205,1,17,17,1979
magic johnson,81,215,1,1,1,1979
marques johnson,79,218,1,3,3,1977
mickey johnson,82,190,4,2,56,1974
neil johnson,79,220,2,5,15,1966
nick johnson,75,202,2,12,42,2014
ollie johnson,78,200,2,17,30,1972
orlando johnson,77,220,2,6,36,2012
reggie johnson,81,205,1,15,15,1980
rich johnson,79,210,4,10,46,1968
ron johnson,80,215,2,4,12,1960
stanley johnson,79,245,1,8,8,2015
steffond johnson,80,240,5,7,100,1986
steve johnson,82,235,1,7,7,1981
stew johnson,80,220,3,1,21,1966
vinnie johnson,74,200,1,7,7,1979
wesley johnson,79,215,1,4,4,2010
darius johnson-odom,74,215,2,25,55,2012
nate johnston,80,210,3,9,59,1988
jim johnstone,83,245,3,5,51,1982
nikola jokic,82,250,2,11,41,2014
alvin jones,83,265,2,28,57,2001
anthony jones,78,195,1,21,21,1986
bobby jones,79,215,2,7,37,2006
caldwell jones,83,217,2,14,32,1973
charles jones,80,215,2,12,36,1984
collis jones,79,203,1,17,17,1971
dahntay jones,78,225,1,20,20,2003
damian jones,84,245,1,30,30,2016
dominique jones,76,215,1,25,25,2010
dontae' jones,80,220,1,21,21,1996
dwight jones,82,210,1,9,9,1973
earl jones,84,210,1,23,23,1984
eddie jones,78,190,1,10,10,1994
edgar jones,82,225,2,9,31,1979
